time,frequency,confidence
0.000,532.195,0.729356
0.010,530.018,0.869154
0.020,526.203,0.898122
0.030,524.461,0.944771
0.040,524.494,0.952814
0.050,524.239,0.946340
0.060,523.991,0.950214
0.070,523.812,0.950736
0.080,523.986,0.952808
0.090,524.227,0.960527
0.100,524.395,0.962134
0.110,524.702,0.964548
0.120,524.674,0.962104
0.130,524.605,0.961518
0.140,524.562,0.960822
0.150,524.717,0.962161
0.160,524.498,0.960469
0.170,524.593,0.960993
0.180,524.591,0.962642
0.190,524.523,0.961460
0.200,524.470,0.958470
0.210,524.528,0.954979
0.220,523.947,0.946234
0.230,523.669,0.921884
0.240,522.475,0.858400
0.250,516.046,0.792657
0.260,503.239,0.838474
0.270,497.083,0.917136
0.280,495.402,0.907057
0.290,494.952,0.926753
0.300,494.748,0.944582
0.310,494.004,0.948464
0.320,494.279,0.957843
0.330,494.441,0.957224
0.340,493.589,0.953909
0.350,493.023,0.947411
0.360,493.607,0.960804
0.370,494.003,0.962226
0.380,494.389,0.963646
0.390,494.578,0.970901
0.400,495.043,0.974530
0.410,494.268,0.971596
0.420,493.565,0.962248
0.430,493.642,0.966081
0.440,493.950,0.969666
0.450,493.942,0.961748
0.460,494.288,0.964813
0.470,495.033,0.967634
0.480,495.374,0.972537
0.490,495.169,0.973403
0.500,495.833,0.976755
0.510,495.998,0.973496
0.520,494.998,0.972649
0.530,494.247,0.967786
0.540,494.470,0.971323
0.550,495.277,0.974437
0.560,495.147,0.973912
0.570,494.938,0.974964
0.580,494.827,0.975966
0.590,494.935,0.974012
0.600,495.021,0.971697
0.610,495.001,0.973509
0.620,494.427,0.970044
0.630,494.567,0.969213
0.640,494.104,0.969972
0.650,493.799,0.962898
0.660,494.044,0.964661
0.670,493.850,0.968034
0.680,493.633,0.961393
0.690,493.676,0.955966
0.700,493.622,0.944142
0.710,493.870,0.928155
0.720,493.845,0.889903
0.730,492.013,0.863298
0.740,489.714,0.691008
0.750,449.936,0.609310
0.760,446.441,0.883907
0.770,444.074,0.891169
0.780,441.540,0.932691
0.790,440.181,0.954401
0.800,439.761,0.956934
0.810,439.528,0.955573
0.820,439.021,0.944982
0.830,439.040,0.952227
0.840,439.375,0.964305
0.850,439.795,0.970603
0.860,439.896,0.973071
0.870,440.106,0.973317
0.880,440.150,0.975111
0.890,440.811,0.978528
0.900,440.527,0.976988
0.910,440.628,0.978395
0.920,440.546,0.976657
0.930,440.588,0.976899
0.940,440.528,0.977262
0.950,440.274,0.974206
0.960,440.265,0.973376
0.970,440.308,0.971851
0.980,440.519,0.976076
0.990,440.317,0.972994
1.000,440.619,0.975388
1.010,440.044,0.971042
1.020,440.519,0.972315
1.030,440.230,0.971056
1.040,440.739,0.976143
1.050,440.376,0.973951
1.060,440.508,0.976985
1.070,440.469,0.976992
1.080,440.560,0.978066
1.090,440.683,0.977670
1.100,440.570,0.978511
1.110,440.277,0.977377
1.120,440.183,0.975011
1.130,439.825,0.969439
1.140,440.036,0.970625
1.150,440.303,0.972580
1.160,440.282,0.973935
1.170,440.507,0.973918
1.180,440.441,0.972900
1.190,440.157,0.967877
1.200,440.360,0.968485
1.210,440.042,0.957287
1.220,440.297,0.940657
1.230,441.431,0.943281
1.240,442.093,0.868411
1.250,447.592,0.313861
1.260,496.797,0.857949
1.270,496.327,0.946119
1.280,494.289,0.920058
1.290,494.080,0.946076
1.300,494.108,0.948667
1.310,493.850,0.951244
1.320,493.651,0.953537
1.330,493.705,0.957052
1.340,493.308,0.955194
1.350,492.658,0.942397
1.360,493.299,0.959249
1.370,493.856,0.964583
1.380,494.239,0.964550
1.390,494.102,0.968305
1.400,494.475,0.974301
1.410,493.973,0.968414
1.420,493.478,0.964346
1.430,493.223,0.960395
1.440,493.477,0.965574
1.450,493.411,0.959756
